id,position,label,description,start_date,term,end_date,replaces,replaced_by,party,constituency
Q52486743,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52487530,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q52487530,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52488080,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q52488080,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52489148,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q52489148,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52556427,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q52556427,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52556468,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q52556468,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52556568,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q52556568,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52556601,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
Q52556601,Q42712773,Member of the 10th Jatiya Sangsad,"Member of the Bangladeshi parliament, 2014 onwards",2014-01-05,10th Jatiyo Sangshad,,,,,
Q52556637,Q13058882,Member of the Jatiya Sangshad,Member of the Bangladeshi legislature,2014,,,,,,
