id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender
12cf352f-7d49-43bf-b502-f8d5a913c805,Mbarka Safa,Safa Mbarka,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
c54edc2a-b724-47ed-9c68-a6d4be7a322e,Meriama Boujemaa,Boujemaa Meriama,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,female
423ab20f-7bee-4f0e-b09a-0cf2d1769eaf,Meriem Alami,Alami Meriem,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,female
f0fb8a8c-df0f-46bc-8bf9-136549c5e6ff,Meriem Ouahssat,Ouahssat Meriem,,,,Parti Authenticité et Modernité,PAM,area/national,National,House of Representatives,10,,,,
f6ed69db-1bc5-4c53-9ad9-c9003babfcdb,Mfeddel Tahiri,Tahiri Mfeddel,,,,Parti de l'Istiqlal,PI,area/karia_-_ghafsai,KARIA - GHAFSAI,House of Representatives,10,,,,
375cfc4e-be3c-495b-964b-a1ba15c8daca,Mhamed EZZAHRAOUI,Zahraoui Mohamed,,,,Union Socialiste des Forces Populaires,USFP,area/el_jadida,EL JADIDA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_246.jpg?itok=UWx61E9E,
f82c3021-b0af-4870-b4d6-c5df8d2d2392,Miloud Ait Hammou,Ait Hammou Miloud,,,,Parti Authenticité et Modernité,PAM,area/chichaoua,CHICHAOUA,House of Representatives,10,,,,
1e256049-87aa-4cda-9204-c26b19826571,Mimouna Aftati,Aftati Mimouna,,,,Parti de la Justice et du Développement,PJD,area/national,National,House of Representatives,10,,,,female
8c7dfa98-dfe8-494a-8970-8fdc1177aa11,Mina Talbi,Talbi Mina,,,,Union Socialiste des Forces Populaires,USFP,area/national,National,House of Representatives,10,,,,female
4219cdd7-4695-4479-be1f-d7dbd59c480c,Moh REJDALI,Rejdali Moh,,,,Parti de la Justice et du Développement,PJD,area/skhirate_-_temara,SKHIRATE - TEMARA,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_156.jpg?itok=gvaKMkAX,
6917594f-402e-445f-a43a-06c9106c397a,Moha IDMOUSSA,Idmoussa Mohamed,,,,Parti de l'Istiqlal,PI,area/al_haouz,AL HAOUZ,House of Representatives,10,,,http://www.chambredesrepresentants.ma/sites/default/files/styles/thumbnail/public/pictures/picture_347.jpg?itok=JA4LwCEg,
5e234f01-b897-4876-8872-2ada88984a97,Mohamed Abbou,Abbou Mohamed,,,,Rassemblement National des Indépendants,RNI,area/taounate_-_tissa,TAOUNATE - TISSA,House of Representatives,10,,,,
113ba56f-2221-488d-82ee-4715f7a686bf,Mohamed Ahouit,Ahouit Mohamed,,,,Union Socialiste des Forces Populaires,USFP,area/ouezzane,OUEZZANE,House of Representatives,10,,,,
f00bad3a-77f0-45fb-98f2-5dfb0e40c5de,Mohamed Ajbil,Ajbil Mohamed,,,,Parti Authenticité et Modernité,PAM,area/moulay_rachid,MOULAY RACHID,House of Representatives,10,,,,
