id,position,label,description,start_date,replaces,replaced_by,end_date,of,constituency,term,election,party
Q1451409,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1451409,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1452304,Q17519166,Member of the Hessian Parliament,"","",,,,,,,,
Q1452304,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1452478,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1452557,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1452557,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1452995,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1453335,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1453335,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1453344,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1453344,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1453344,Q514725,Landrat,public official,"",,,,,,,,
Q1453707,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1453729,Q17441472,member of the Bürgerschaft of Bremen,"","",,,,,,,,
Q1453729,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1454062,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1454062,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1454589,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1455164,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1455671,Q18618563,Member of Landtag of Rhineland-Palatinate,"","",,,,,,,,
Q1455671,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1455946,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q1455946,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1455946,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1456516,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457078,Q18327335,Member of the Abgeordnetenhaus of Berlin,"","",,,,,,,,
Q1457078,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457122,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457186,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457193,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q1457193,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457206,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457206,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1457241,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457243,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457251,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457597,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457661,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457661,Q19731005,Parliamentary Secretary in Germany,"","",,,,,,,,
Q1457780,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1457959,Q17519166,Member of the Hessian Parliament,"","",,,,,,,,
Q1457959,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1458343,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1458343,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
Q1458379,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1458477,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1459150,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1459249,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1459787,Q17781726,member of the Landtag of North Rhine-Westphalia,"","",,,,,,,,
Q1459787,Q1939555,member of the German Bundestag,deputy of the German parliament,"",,,,,,,,
Q1459787,Q22230846,Ambassador of Germany to Switzerland,"",1951,,Ernst Günther Mohr,1958,,,,,
Q1459787,Q30185,mayor,head of municipal government such as a town or city,"",,,,,,,,
